ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7892622,7.64E-31,3.74E-33,16.6394458,64.8997945,9.13E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8149685,7.64E-31,3.74E-33,-16.6394434,64.8997823,-1.11,LGI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8135734,7.64E-31,3.75E-33,-16.63911,64.8980937,-1.59,CPED1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125289,9.41E-31,4.64E-33,-16.5971159,64.6852443,-1.54,TNXB,TNXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8078350,1.04E-30,5.15E-33,-16.5768806,64.5826034,-1.03,TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8180266,1.31E-30,6.54E-33,-16.5301211,64.3452291,-1.65,ST6GALNAC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8029784,1.34E-30,6.72E-33,-16.5246812,64.3175964,-1.4,HIF3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125234,1.39E-30,7.03E-33,-16.5160059,64.2735206,-1.2,TNXB,TNXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8171313,1.88E-30,9.53E-33,-16.4564471,63.9706797,-1.47,ARHGAP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8088126,2.25E-30,1.15E-32,-16.4199729,63.7850035,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8180234,2.39E-30,1.23E-32,-16.4065932,63.7168516,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8075263,2.56E-30,1.32E-32,16.3925633,63.6453648,9.90E-01,NIPSNAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
